"Name","Start","End","Duration","Process"
"ManicTime -","7/10/2013 7:37:02 AM","7/10/2013 7:37:07 AM","0:00:05","ManicTime"
"ManicTime - TRIAL","7/10/2013 7:37:07 AM","7/10/2013 7:37:30 AM","0:00:23","ManicTime"
"Lead_4","7/10/2013 7:37:30 AM","7/10/2013 7:37:50 AM","0:00:20","MATLAB"
"Udemy - Online Courses from the World's Experts - Google Chrome","7/10/2013 7:37:50 AM","7/10/2013 7:37:57 AM","0:00:07","Google Chrome"
"Inbox - JOHN.A.THOMPSON@UCDENVER.EDU - Outlook","7/10/2013 8:25:59 AM","7/10/2013 8:26:12 AM","0:00:13","Microsoft Outlook"
"Tag away time","7/10/2013 8:26:12 AM","7/10/2013 8:26:21 AM","0:00:09","ManicTime"
"ManicTime - TRIAL","7/10/2013 8:26:21 AM","7/10/2013 8:26:34 AM","0:00:13","ManicTime"
"Microsoft® Windows® Operating System","7/10/2013 8:26:34 AM","7/10/2013 8:26:46 AM","0:00:12","Microsoft® Windows® Operating System"
"Inbox - john.arthur.thompson@gmail.com - Gmail - Google Chrome","7/10/2013 8:26:46 AM","7/10/2013 8:26:53 AM","0:00:07","Google Chrome"
"Your question has been answered - john.arthur.thompson@gmail.com - Gmail - Google Chrome","7/10/2013 8:26:53 AM","7/10/2013 8:27:00 AM","0:00:07","Google Chrome"
"Page Redirect - Google Chrome","7/10/2013 8:27:00 AM","7/10/2013 8:27:06 AM","0:00:06","Google Chrome"
"Suunto Ambit2 Black (HR) - Suunto - Google Chrome","7/10/2013 8:27:06 AM","7/10/2013 8:27:16 AM","0:00:10","Google Chrome"
"Suunto Ambit2 Black (HR) - Suunto - Google Chrome","7/10/2013 8:27:16 AM","7/10/2013 8:31:39 AM","0:04:23","Google Chrome"
"Inbox - john.arthur.thompson@gmail.com - Gmail - Google Chrome","7/10/2013 8:31:39 AM","7/10/2013 8:31:44 AM","0:00:05","Google Chrome"
